url,name,online_order,book_table,rate,votes,phone,location,rest_type,approx_cost(for two people),menu_item,listed_in(type),listed_in(city),row_num,address_clean,review_1,review_2,dish_1,dish_2,cuisine_1,cuisine_2,valid_location
https://www.zomato.com/bangalore/spice-elephant-banashankari?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwxODM3NTQ3NCwiNTkwOTAiLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,Spice Elephant,Yes,No,4.1/5,787,08041714161,Banashankari,Casual Dining,800,"rice was well cooked and overall was great\n\n2. Mutton biriyani was very very good and tasty and It had plenty of mutton pieces..."""")", ('Rated 5.0', 'RATED\n  This place just cool ? with good ambience and slow music and having delicious food is where you find peace. Staff very friendly and they have maintained the place so clean. The price is average for what the quantity of food they serve.\nThom yum Thai soup was best and was treat to mouth,2,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",Rated 4.0, RATED  Had bee here for dier with family. Tured out to be a good choose suitable for all ages of people. Ca try this place. We liked the most was their starters. Service is good. Prices are affordable. Will recommed this restaurat for early dier. The place is little oisy.),Momos, Lunch Buffet,Chinese, North Indian,True
https://www.zomato.com/SanchurroBangalore?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLDU5MDkwLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,San Churro Cafe,Yes,No,3.8/5,918,91966348799,Banashankari,"Cafe, Casual Dining",800, ('Rated 3.0'," """"RATED\n \nWent there for a quick bite with friends.\nThe ambience had more of corporate feel. I would say it was unique.\nTried nachos"," pasta churros and lasagne.\n\nNachos were pathetic.( Seriously don't order)\nPasta was okayish.\nLasagne was good.\nNutella churros were the best.\nOverall an okayish experience!\nPeace ??"""")",3,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",Rated 3.0, RATED  Ambiece is ot that good eough ad its ot a pocket friedly cafe ad the quatity is ot that good ad desserts are too good eough ??..),Churros, Cannelloni,Cafe, Mexican,True
https://www.zomato/bangalore/addhuri-udupi-bhojana-banashankari?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLCI1OTA5MCIsMTgzODI5NDQsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,Addhuri Udupi Bhojana,No,No,3.7/5,88,919620009302,Banashankari,Quick Bites,300, ('Rated 2.0', 'RATED\n  Reached the place at 3pm on Saturday. Half of the items on the menu were over. What was annoying was is the food was cold. The taste was also very average. Only dosa and holige were good. There were very few people in the restaurant and the service was still very slow. The waiters were all standing in one corner and talking. Had to call them repeatedly.'), ('Rated 4.0',4,"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",Rated 4.0, RATED  Great food ad proper Karataka style full meals. Bee there twice ad was fully satisfied.. Will give 5 stars if its well maaged............),Masala Dosa,,South Indian, North Indian,True
https://www.zomato.com/bangalore/cafe-shuffle-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTY1Njc5IiwiMTg1OTMwNDQiLCIxODE0ODk0MSIsIjE4NDcwNzcxIiwxODcxNjA2MSwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5IiwiMTg1MjkwOTAiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==,Cafe Shuffle,Yes,Yes,4.2/5,150,91974216677,Banashankari,Cafe,600," you get it literally half an hour late."""")", ('Rated 4.0'," """"RATED\n  While this place is more common for hookah",19,"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Rated 1.0, RATED Horrible. Not eve kiddig. We ordered BBQ chicke wigs ad chefs special pizza. They gave udercooked chicke wigs ad the sauce o it was ot eve BBQ sauce. It was some local sauce with little spices i it. Pizza hardly had toppigs o it. Staffs were so irresposible. We had to tell them to give us the plates ad cups after waitig for so log time . Also food delivery is so late. You order it ow,Mocktails, Peri Fries,Cafe, Italian,True
https://www.zomato.com/bangalore/the-coffee-shack-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTkzMDQ0IiwiMTgxNDg5NDEiLCIxODQ3MDc3MSIsIjE4NzE2MDYxIiwxODYzMjk3NywiMTgyMDI5OTciLCI1OTA5MCIsIjE4NTU5MjExIiwiMTgzMjM2MzkiLCIxODU3NDI3NyIsIjE4NzIzNDk0IiwiMTg4NjcxMjIiLCIxODY4ODQ4OSIsIjE4NTI5MDkwIiwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,The Coffee Shack,Yes,Yes,4.2/5,164,91973164421,Banashankari,Cafe,500," as the smoking area looks very quaint and comfortable.\nI would recommend their pancakes with chocolate syrup and ice cream which I've enjoyed everytime I've been there."""")", ('Rated 4.0'," """"RATED\n  The Coffee Shack is one of the lesser known",20,"6th Block, 3rd Stage, Banashankari, Bangalore",Rated 4.0, RATED  Food - 4/5Ambiece - 3.5/5Service - 3/5Easily the best cafÃx83Ãx83Ãx82Ãx83Ãx83Ãx82Ãx82ÃÂ© i the eighborhood ad possibly the oly oe ot icludig the CCDs that you fid at the ed of every road.Appears to be a popular place for smokers to chill at,Coffee, Spaghetti,Cafe, Chinese,True
https://www.zomato.com/bangalore/caf-eleven-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4MTQ4OTQxIiwiMTg0NzA3NzEiLCIxODcxNjA2MSIsIjE4NjMyOTc3IiwxODIwMjk5NywiNTkwOTAiLCIxODU1OTIxMSIsIjE4MzIzNjM5IiwiMTg1NzQyNzciLCIxODcyMzQ5NCIsIjE4ODY3MTIyIiwiMTg2ODg0ODkiLCIxODUyOTA5MCIsIjU2MTY2IiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19,Caf-Eleven,No,No,4.0/5,424,08049577715,Banashankari,Cafe,450," I found an eyelash in the hot chocolate shake. The hot and cold chocolate are below average."""")", ('Rated 4.0'," """"RATED\n  Loved the ambience and the interior",21,"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",Rated 2.0, RATED  This is a hookah cafe. It was ot metioed aywhere i the page that it was a hookah place. Theres also o separate seatig for o smokers. Horrible ambiece. Ppl icludig waiters smokig hookah everywhere. Im ever goa visit this place agai. Also,Sandwich, Omelette,Cafe, Continental,True
https://www.zomato/SanchurroBangalore?context=eyJzZSI6eyJlIjpbIjE4NDcwNzcxIiwiMTg3MTYwNjEiLCIxODYzMjk3NyIsIjE4MjAyOTk3Iiw1OTA5MCwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5IiwiMTg1MjkwOTAiLCI1NjE2NiIsIjYwOTE5IiwiMTgzOTY3NjAiLCIxODU5MzUxOSIsIjE4NTAwMDIwIiwiMTg4NDQyNjAiLCI1Nzk5NCIsIjU1MDkwIiwiNTc0MzUiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==,San Churro Cafe,Yes,No,3.8/5,918,919663487993,Banashankari,"Cafe, Casual Dining",800, ('Rated 3.0'," """"RATED\n \nWent there for a quick bite with friends.\nThe ambience had more of corporate feel. I would say it was unique.\nTried nachos"," pasta churros and lasagne.\n\nNachos were pathetic.( Seriously don't order)\nPasta was okayish.\nLasagne was good.\nNutella churros were the best.\nOverall an okayish experience!\nPeace ??"""")",22,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",Rated 3.0, RATED  Ambiece is ot that good eough ad its ot a pocket friedly cafe ad the quatity is ot that good ad desserts are too good eough ??..),Churros, Cannelloni,Cafe, Mexican,True
https://www.zomato/bangalore/woodee-pizza-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5IiwxODUyOTA5MCwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,Woodee Pizza,Yes,No,3.7/5,180,91740682284,Banashankari,Cafe,500," thin crust and served hot. What I was disappointed with was the stringent use of Pineapple and corn. Pineapple was cut so small thst it was smaller than the corn kernel. Very disappointing indeed.. ??\n\nJalapeÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ±o Garlic Bread... Didn\'t much care for it.. though it was also loaded and bursting at the seams with cheese and JalapeÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ±os.\nIt was too doughy...')]""",[],Cafes,33,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",Rated 3.0, RATED  Decided to take a break from my usual Pizza Parlour... Ad also coz I love the Pieapple ad JalapeÃx83Ãx83Ãx82Ãx83Ãx83Ãx82Ãx82ÃÂ±os combiatio that may pizza parlours dot make. Havig foud oe thst makes it I decided to give it a shot.Tried their:Hot Golde Cake Pizza (Pieapple,Pizza, Garlic Bread,Cafe, Pizza,True
https://www.zomato.com/bangalore/cafe-coffee-day-1-banashankari?context=eyJzZSI6eyJlIjpbIjE4NzIzNDk0IiwiMTg4NjcxMjIiLCIxODY4ODQ4OSIsIjE4NTI5MDkwIiw1NjE2NiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19,Cafe Coffee Day,No,No,3.6/5,28,0803248629,Banashankari,Cafe,900, it was not at all cold. Even AC seemed to be off in this summer as we felt really hot through out our time. Instead of paying service taxes n getting horrible coffee n sweating," it's better to buy coke or drink water or visit better cafes."""")", ('Rated 3.0',34,"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",Rated 4.0, RATED  This outlet is better tha other outlets. But the service was slow. Ambiece was good. The garlic bread was ot that great. But the other dishes were yum.),,,Cafe, Fast Food,True
https://www.zomato.com/bangalore/hide-out-cafe-banashankari?context=eyJzZSI6eyJlIjpbIjE4Njg4NDg5IiwiMTg1MjkwOTAiLCI1NjE2NiIsIjYwOTE5IiwxODM5Njc2MCwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,Hide Out Cafe,No,No,3.7/5,31,91990148118,Banashankari,Cafe,300, ('Rated 5.0', 'RATED\n  Hide out is best cafe and the staff members are very concerned best place to visit I love the place no other can beat this cafe awsum ????? loved it thanks for the convenience'), ('Rated 5.0',37,"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",Rated 4.0, RATED  The food was quite good,,,Cafe,,True
